name,mc_slug,metascore,user_score,date_released
Mass Effect 2,mass-effect-2,94,8.9,"Jan 26, 2010"
Starcraft II: Wings of Liberty,starcraft-ii-wings-of-liberty,93,8.3,"Jul 27, 2010"
World of Warcraft: Cataclysm,world-of-warcraft-cataclysm,90,5.7,"Dec 7, 2010"
Sid Meier's Civilization V,sid-meiers-civilization-v,90,8.0,"Sep 21, 2010"
BioShock 2,bioshock-2,88,8.0,"Feb 9, 2010"
Super Meat Boy,super-meat-boy,87,8.2,"Nov 30, 2010"
Battlefield: Bad Company 2,battlefield-bad-company-2,87,8.3,"Mar 2, 2010"
Monkey Island 2 Special Edition: LeChuck's Revenge,monkey-island-2-special-edition-lechucks-revenge,87,8.8,"Jul 7, 2010"
Borderlands: The Secret Armory of General Knoxx,borderlands-the-secret-armory-of-general-knoxx,86,7.1,"Feb 25, 2010"
Need for Speed: Hot Pursuit,need-for-speed-hot-pursuit,86,6.8,"Nov 16, 2010"
Mass Effect 2: Lair of the Shadow Broker,mass-effect-2-lair-of-the-shadow-broker,86,8.5,"Sep 7, 2010"
Battlefield: Bad Company 2 Vietnam,battlefield-bad-company-2-vietnam,86,8.0,"Dec 18, 2010"
Assassin's Creed II,assassins-creed-ii,86,7.3,"Mar 9, 2010"
Amnesia: The Dark Descent,amnesia-the-dark-descent,85,8.6,"Sep 8, 2010"
Football Manager 2011,football-manager-2011,85,8.3,"Nov 4, 2010"
"Warhammer 40,000: Dawn of War II - Chaos Rising",warhammer-40000-dawn-of-war-ii---chaos-rising,85,8.6,"Mar 10, 2010"
Fallout: New Vegas,fallout-new-vegas,84,8.7,"Oct 19, 2010"
Just Cause 2,just-cause-2,84,7.7,"Mar 23, 2010"
F1 2010,f1-2010,84,6.6,"Sep 21, 2010"
Shatter,shatter,84,7.3,"Mar 15, 2010"
FIFA Soccer 11,fifa-soccer-11,83,7.7,"Sep 28, 2010"
Sam & Max: The Devil's Playhouse - Episode 2: The Tomb of Sammun-Mak,sam-max-the-devils-playhouse---episode-2-the-tomb-of-sammun-mak,83,7.5,"May 18, 2010"
Darksiders,darksiders,83,7.7,"Sep 23, 2010"
Age of Conan: Rise of the Godslayer,age-of-conan-rise-of-the-godslayer,83,7.6,"May 11, 2010"
Tom Clancy's Splinter Cell: Conviction,tom-clancys-splinter-cell-conviction,83,5.4,"Apr 27, 2010"
Bejeweled 3,bejeweled-3,82,7.8,"Dec 7, 2010"
Dragon Age: Origins - Awakening,dragon-age-origins---awakening,82,7.9,"Mar 16, 2010"
Lara Croft and the Guardian of Light,lara-croft-and-the-guardian-of-light,82,8.1,"Sep 28, 2010"
Desktop Dungeons,desktop-dungeons,82,7.6,"Oct 17, 2010"
Recettear: An Item Shop's Tale,recettear-an-item-shops-tale,82,8.6,"Sep 10, 2010"
Divinity II: The Dragon Knight Saga,divinity-ii-the-dragon-knight-saga,82,8.2,"Nov 5, 2010"
VVVVVV,vvvvvv,81,7.9,"Jan 11, 2010"
Metro 2033,metro-2033,81,8.0,"Mar 16, 2010"
Blur,blur,81,7.4,"May 25, 2010"
Sam & Max: The Devil's Playhouse - Episode 1: The Penal Zone,sam-max-the-devils-playhouse---episode-1-the-penal-zone,81,7.8,"Apr 15, 2010"
Napoleon: Total War,napoleon-total-war,81,7.9,"Feb 23, 2010"
Call of Duty: Black Ops,call-of-duty-black-ops,81,5.5,"Nov 9, 2010"
Sam & Max: The Devil's Playhouse - Episode 5: The City That Dares Not Sleep,sam-max-the-devils-playhouse---episode-5-the-city-that-dares-not-sleep,81,7.7,"Aug 30, 2010"
Toki Tori,toki-tori,80,7.6,"Jan 28, 2010"
S.T.A.L.K.E.R.: Call of Pripyat,stalker-call-of-pripyat,80,8.7,"Feb 2, 2010"
Revenge of the Titans,revenge-of-the-titans,79,7.6,"May 24, 2010"
Cart Life,cart-life,79,5.8,"Jul 29, 2010"
Worms Reloaded,worms-reloaded,79,6.9,"Aug 26, 2010"
Puzzle Dimension,puzzle-dimension,79,7.4,"Jun 21, 2010"
Split/Second,splitsecond,79,8.0,"May 18, 2010"
Tropico 3: Absolute Power,tropico-3-absolute-power,79,7.4,"May 17, 2010"
The Misadventures of P.B. Winterbottom,the-misadventures-of-pb-winterbottom,79,7.8,"Apr 20, 2010"
The Settlers 7: Paths to a Kingdom,the-settlers-7-paths-to-a-kingdom,79,5.2,"Mar 23, 2010"
LEGO Harry Potter: Years 1-4,lego-harry-potter-years-1-4,79,7.7,"Jun 25, 2010"
Dead Rising 2,dead-rising-2,78,6.5,"Sep 27, 2010"
DeathSpank: Thongs of Virtue,deathspank-thongs-of-virtue,78,7.3,"Nov 30, 2010"
Mount & Blade: Warband,mount-blade-warband,78,8.9,"Mar 30, 2010"
King's Bounty: Crossworlds,kings-bounty-crossworlds,78,8.5,"Sep 17, 2010"
Dawn of Discovery: Venice,dawn-of-discovery-venice,78,7.7,"Feb 26, 2010"
Mafia II,mafia-ii,77,8.2,"Aug 23, 2010"
DeathSpank,deathspank,77,7.6,"Oct 25, 2010"
Alien Swarm,alien-swarm,77,8.2,"Jul 19, 2010"
Supreme Commander 2,supreme-commander-2,77,6.2,"Mar 1, 2010"
Lost Horizon,lost-horizon,77,7.5,"Sep 24, 2010"
Singularity,singularity,76,7.8,"Jun 29, 2010"
Heroes of Newerth,heroes-of-newerth,76,7.3,"May 12, 2010"
Plain Sight,plain-sight,76,7.4,"Apr 5, 2010"
R.U.S.E.,ruse,76,7.9,"Sep 7, 2010"
Serious Sam HD: The Second Encounter,serious-sam-hd-the-second-encounter,76,8.1,"Apr 28, 2010"
Greed Corp,greed-corp,76,7.1,"Dec 10, 2010"
Din's Curse,dins-curse,76,7.4,"Mar 31, 2010"
Sam & Max: The Devil's Playhouse - Episode 4: Beyond the Alley of the Dolls,sam-max-the-devils-playhouse---episode-4-beyond-the-alley-of-the-dolls,76,7.7,"Jul 20, 2010"
Victoria II,victoria-ii,75,8.2,"Aug 13, 2010"
The Dream Machine,the-dream-machine,75,8.1,"Dec 14, 2010"
FIFA Manager 11,fifa-manager-11,75,5.4,"Nov 3, 2010"
Prince of Persia: The Forgotten Sands,prince-of-persia-the-forgotten-sands,75,6.7,"Jun 8, 2010"
Left 4 Dead 2: The Passing,left-4-dead-2-the-passing,75,7.5,"Apr 22, 2010"
Transformers: War for Cybertron,transformers-war-for-cybertron,75,7.8,"Jun 22, 2010"
Dark Fall 3: Lost Souls,dark-fall-3-lost-souls,75,7.0,"Apr 21, 2010"
Sam & Max: The Devil's Playhouse - Episode 3: They Stole Max's Brain!,sam-max-the-devils-playhouse---episode-3-they-stole-maxs-brain!,75,7.5,"Jun 22, 2010"
Sol Survivor,sol-survivor,75,7.7,"Mar 15, 2010"
